span_id,material,diameter_mm,n_pipes,腐食,たるみ,発生率ランク,a率%,ab率%,abc率%,特例適用,緊急度,判定根拠
6200,rc,1200,7,,B,A,28.6,28.6,28.6,,Ⅱ,不良発生率 a=28.6% / a+b=28.6% / a+b+c=28.6% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
8898,rc,1200,18,,,A,22.2,22.2,22.2,,Ⅱ,不良発生率 a=22.2% / a+b=22.2% / a+b+c=22.2% → 発生率ランクA / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
6192,rc,1200,18,B,,B,5.6,5.6,5.6,,Ⅱ,不良発生率 a=5.6% / a+b=5.6% / a+b+c=5.6% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
6124,rc,900,10,B,,B,0.0,20.0,20.0,,Ⅱ,不良発生率 a=0.0% / a+b=20.0% / a+b+c=20.0% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
6123,rc,900,20,,,B,0.0,0.0,65.0,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=65.0% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
6122,rc,900,32,,,C,0.0,0.0,12.5,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=12.5% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
8596,rc,800,37,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
8600,rc,800,37,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
8741,rc,800,30,A,,A,3.3,3.3,3.3,○,Ⅰ,"破損a(管No.3, 7.4m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
10407,rc,800,39,,,A,2.6,2.6,10.3,○,Ⅱ,"継手ズレa(管No.10, 20.8m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
12926,rc,800,7,,B,A,28.6,28.6,28.6,,Ⅱ,不良発生率 a=28.6% / a+b=28.6% / a+b+c=28.6% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
10403,rc,800,38,,,A,21.1,21.1,21.1,,Ⅱ,不良発生率 a=21.1% / a+b=21.1% / a+b+c=21.1% → 発生率ランクA / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
20250,rc,1000,4,B,,A,25.0,25.0,25.0,,Ⅱ,不良発生率 a=25.0% / a+b=25.0% / a+b+c=25.0% → 発生率ランクA / 腐食=B / たるみ=なし / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
20389,rc,1100,16,B,,B,0.0,18.8,18.8,,Ⅱ,不良発生率 a=0.0% / a+b=18.8% / a+b+c=18.8% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
20390,rc,1100,10,,,B,0.0,0.0,60.0,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=60.0% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20391,rc,1100,22,,,C,0.0,0.0,9.1,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=9.1% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20392,rc,1100,14,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20553,rc,1650,74,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
20242,rc,1200,10,A,,A,10.0,10.0,10.0,○,Ⅰ,"破損a(管No.6, 12.7m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
20243,rc,1200,35,,,A,2.9,2.9,11.4,○,Ⅱ,"継手ズレa(管No.33, 66.2m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
20248,rc,1000,23,,B,A,26.1,26.1,26.1,,Ⅱ,不良発生率 a=26.1% / a+b=26.1% / a+b+c=26.1% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
6173,rc,1500,29,,,A,20.7,20.7,20.7,,Ⅱ,不良発生率 a=20.7% / a+b=20.7% / a+b+c=20.7% → 発生率ランクA / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
11893,rc,1350,23,B,,B,4.3,4.3,4.3,,Ⅱ,不良発生率 a=4.3% / a+b=4.3% / a+b+c=4.3% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
11896,rc,800,30,B,,B,0.0,20.0,20.0,,Ⅱ,不良発生率 a=0.0% / a+b=20.0% / a+b+c=20.0% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
11895,rc,800,34,,,B,0.0,0.0,64.7,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=64.7% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20388,rc,1100,15,,,C,0.0,0.0,6.7,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=6.7% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20342,rc,1200,4,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
20081,rc,1800,15,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
20086,rc,1800,20,A,,A,5.0,5.0,5.0,○,Ⅰ,"破損a(管No.18, 36.1m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=A / たるみ=なし / ランクA×2・B×0 → 緊急度Ⅰ(ランクAが2項目以上)"
5718,rc,2000,19,,,A,5.3,5.3,5.3,○,Ⅱ,"継手ズレa(管No.5, 10.3m) → 特例により発生率ランクA(備考②: 道路陥没等の社会的影響) / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)"
5719,rc,2000,2,,B,A,50.0,50.0,50.0,,Ⅱ,不良発生率 a=50.0% / a+b=50.0% / a+b+c=50.0% → 発生率ランクA / 腐食=なし / たるみ=B / ランクA×1・B×1 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
12964,ceramic,250,9,,,A,22.2,22.2,22.2,,Ⅱ,不良発生率 a=22.2% / a+b=22.2% / a+b+c=22.2% → 発生率ランクA / 腐食=なし / たるみ=なし / ランクA×1・B×0 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
10379,ceramic,250,18,B,,B,5.6,5.6,5.6,,Ⅱ,不良発生率 a=5.6% / a+b=5.6% / a+b+c=5.6% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
19514,ceramic,450,10,B,,B,0.0,20.0,20.0,,Ⅱ,不良発生率 a=0.0% / a+b=20.0% / a+b+c=20.0% → 発生率ランクB / 腐食=B / たるみ=なし / ランクA×0・B×2 → 緊急度Ⅱ(ランクAが1項目 もしくは ランクBが2項目以上)
8773,ceramic,500,108,,,B,0.0,0.0,64.8,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=64.8% → 発生率ランクB / 腐食=なし / たるみ=なし / ランクA×0・B×1 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
8772,ceramic,500,20,,,C,0.0,0.0,10.0,,Ⅲ,不良発生率 a=0.0% / a+b=0.0% / a+b+c=10.0% → 発生率ランクC / 腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
15102,ceramic,250,7,,C,,0.0,0.0,0.0,,Ⅲ,腐食=なし / たるみ=C / ランクA×0・B×0 → 緊急度Ⅲ(ランクAがなく、ランクBが1項目もしくはランクCのみ)
15088,ceramic,250,8,,,,0.0,0.0,0.0,,異常なし,腐食=なし / たるみ=なし / ランクA×0・B×0 → 緊急度異常なし(3項目とも異常なし)
