SAUID,system,dia_mm,material,year,length_m
22593,雨水,2500.0,その他,,14.08328832339469
22590,雨水,2500.0,その他,,33.30263178789476
22586,雨水,2500.0,その他,,22.841257780605524
22582,雨水,2500.0,その他,,98.72624354777163
11458,雨水,2500.0,ヒューム管,1994.0,84.2107563221078
11459,雨水,2500.0,ヒューム管,1994.0,83.4367302144673
8881,雨水,2500.0,その他,1997.0,101.7166461437577
20533,雨水,2500.0,塩ビ管,1994.0,84.69421914218377
19498,雨水,2500.0,その他,,29.544173496481278
19497,雨水,2500.0,その他,,37.9335143146614
19495,雨水,2500.0,その他,,10.225730924101548
6138,雨水,2500.0,その他,1997.0,120.73704416519024
19600,雨水,2500.0,その他,,52.89482639807051
19601,雨水,2500.0,その他,,24.22847643455684
19602,雨水,2500.0,その他,,3.980047262671266
11999,雨水,2500.0,その他,2007.0,94.52215720377983
22729,雨水,2500.0,その他,2007.0,6.004714231343279
11460,雨水,2500.0,ヒューム管,1994.0,85.01250443224684
22620,雨水,2500.0,その他,,5.218328180555653
12000,雨水,2500.0,その他,2007.0,2.3111110543296824
12009,雨水,2500.0,その他,2007.0,132.66059960699258
12227,雨水,2500.0,陶管,2004.0,16.77831576768302
19619,雨水,2500.0,その他,,56.45691638748053
19622,雨水,2500.0,その他,,13.510422384218474
19623,雨水,2500.0,その他,,6.5868885411103815
19620,雨水,2500.0,その他,,38.34497722717377
19621,雨水,2500.0,その他,,67.48349865641285
19618,雨水,2500.0,その他,,18.04520684281817
19558,雨水,2500.0,その他,,26.119287158200677
19557,雨水,2500.0,その他,,12.879829256428101
19500,雨水,2500.0,その他,,32.59806895932838
19603,雨水,2500.0,その他,,24.01173130545965
19604,雨水,2500.0,その他,,37.80764242376447
19616,雨水,2500.0,その他,,7.702272968375224
19617,雨水,2500.0,その他,,25.438163160885157
6137,雨水,2500.0,その他,1997.0,50.51636941797582
19499,雨水,2500.0,その他,,30.46229923050342
11453,雨水,2400.0,ヒューム管,1994.0,59.87342984685278
8908,雨水,2400.0,ヒューム管,,141.75332572558145
8909,雨水,2400.0,ヒューム管,,45.08639117708339
11454,雨水,2400.0,ヒューム管,1994.0,60.298191544283824
11414,雨水,2400.0,塩ビ管,1994.0,102.32915355150567
11413,雨水,2400.0,塩ビ管,1994.0,103.23040306342234
11445,雨水,2400.0,塩ビ管,1994.0,57.57356184639811
20528,雨水,2400.0,塩ビ管,1994.0,59.01637606707586
11903,雨水,2400.0,ヒューム管･推進管,1989.0,136.47400855880772
5397,雨水,2300.0,その他,,5.3145687156487815
10868,雨水,2300.0,,,2.7970028649956094
10864,雨水,2300.0,,,69.29766857432699
5396,雨水,2300.0,その他,,25.290580150427576
20933,雨水,2260.0,その他,2012.0,67.49797271086122
12228,雨水,2250.0,陶管,2004.0,22.886339066413974
19661,雨水,2200.0,塩ビ管,1996.0,103.96292342662669
19662,雨水,2200.0,塩ビ管,1996.0,203.92396180749301
11963,雨水,2200.0,その他,,51.16451080615334
12242,雨水,2200.0,,,77.45048955710008
12244,雨水,2200.0,,,40.93109679668332
19667,雨水,2200.0,塩ビ管,1996.0,54.93083686098059
5981,雨水,2200.0,シールド,,421.60435106180387
12245,雨水,2200.0,,1995.0,19.634103233757564
20531,雨水,2200.0,塩ビ管,1996.0,96.59065502046201
11416,雨水,2200.0,ヒューム管･推進管,1998.0,147.23661335140866
20544,雨水,2200.0,,,919.4481664940748
11467,雨水,2200.0,ヒューム管･推進管,1998.0,114.58272392923679
11473,雨水,2200.0,塩ビ管,1989.0,32.27766709862403
12243,雨水,2200.0,,,17.809339501140883
11964,雨水,2200.0,その他,,49.1638102422546
11415,雨水,2200.0,ヒューム管･推進管,1998.0,169.26666749956496
22691,雨水,2100.0,陶管,2004.0,12.255124397575743
20179,雨水,2100.0,陶管,2004.0,5.678879301828966
22577,雨水,2000.0,その他,2006.0,7.554845994459362
22579,雨水,2000.0,その他,2006.0,4.581189801788271
22727,雨水,2000.0,,1989.0,125.23614973320642
22578,雨水,2000.0,その他,2006.0,28.332266499522344
22598,雨水,2000.0,その他,,24.1818647908809
22454,雨水,2000.0,その他,,30.515467717206114
19104,雨水,2000.0,その他,,7.6551042368343545
19103,雨水,2000.0,その他,,13.322936763334626
19102,雨水,2000.0,その他,,12.205346574351518
19101,雨水,2000.0,その他,,13.058963097786183
19094,雨水,2000.0,その他,2000.0,76.84395018235355
10867,雨水,2000.0,その他,1997.0,65.37204793718986
10866,雨水,2000.0,その他,1997.0,78.72967159253952
10858,雨水,2000.0,その他,1994.0,35.886127125990654
8904,雨水,2000.0,その他,,51.0609951216114
10857,雨水,2000.0,その他,1994.0,23.38813473358394
10829,雨水,2000.0,ヒューム管,1994.0,797.3154258949196
8895,雨水,2000.0,ヒューム管･推進管,1989.0,64.00395414804504
20568,雨水,2000.0,ヒューム管･推進管,1998.0,124.73788749570096
11411,雨水,2000.0,塩ビ管,1994.0,144.40948346152254
8860,雨水,2000.0,その他,1997.0,142.17173238175872
8879,雨水,2000.0,,1995.0,96.06743350262612
22453,雨水,2000.0,その他,,19.80804788463403
6133,雨水,2000.0,その他,1997.0,11.91769212369629
6132,雨水,2000.0,,1995.0,98.01022833915415
6072,雨水,2000.0,その他,1997.0,58.41699554382114
6135,雨水,2000.0,その他,1997.0,55.50515728318474
6134,雨水,2000.0,その他,1997.0,38.25399438217091
6136,雨水,2000.0,その他,1997.0,19.50860002654173
19143,雨水,2000.0,その他,,24.363871408286805
19144,雨水,2000.0,その他,,28.324256958243506
6071,雨水,2000.0,その他,1997.0,148.70987731637163
19107,雨水,2000.0,その他,,18.219308126609803
19105,雨水,2000.0,その他,,14.833641338920772
19109,雨水,2000.0,その他,,14.809945453142866
19110,雨水,2000.0,その他,,15.126726605052362
19111,雨水,2000.0,その他,,31.66989662763431
19106,雨水,2000.0,その他,,14.977484796985358
5718,雨水,2000.0,ヒューム管,,45.64918210163059
5390,雨水,2000.0,ヒューム管,2009.0,64.33034781979462
5374,雨水,2000.0,ヒューム管,2009.0,51.94228728887996
5389,雨水,2000.0,その他,,39.28612077439173
5371,雨水,2000.0,ヒューム管,2009.0,46.43475770257899
5368,雨水,2000.0,ヒューム管,2009.0,63.233392776675466
11193,雨水,2000.0,,,23.91830358278219
11194,雨水,2000.0,,,25.190975875354795
11190,雨水,2000.0,,,12.306266257051812
11189,雨水,2000.0,,,52.713222152116344
11192,雨水,2000.0,,,32.63332263904053
11191,雨水,2000.0,,,14.618246185109726
11188,雨水,2000.0,,,58.74897828047627
19660,雨水,2000.0,塩ビ管,1996.0,48.429654183625814
19659,雨水,2000.0,塩ビ管,1996.0,124.46831514340406
19108,雨水,2000.0,その他,,21.367308373693064
6055,雨水,2000.0,,1995.0,121.45409688087892
19419,雨水,2000.0,その他,1994.0,49.81075563497138
19418,雨水,2000.0,その他,1994.0,13.083240156780526
19417,雨水,2000.0,その他,1994.0,23.980085404341708
19416,雨水,2000.0,その他,1994.0,35.32008104464369
19415,雨水,2000.0,その他,1994.0,34.468490926055736
19414,雨水,2000.0,その他,1994.0,27.737623005582964
5719,雨水,2000.0,ヒューム管,,5.084262090020878
12017,雨水,2000.0,ヒューム管,2009.0,4.085954939146175
11996,雨水,2000.0,その他,2007.0,84.12551671060054
11997,雨水,2000.0,その他,2007.0,23.786816426386675
11196,雨水,2000.0,,,56.1340042111316
11995,雨水,2000.0,その他,2007.0,78.55655640331742
11198,雨水,2000.0,,,22.86230107504492
11197,雨水,2000.0,,,29.078504786626706
11195,雨水,2000.0,,,31.51888147150922
19965,雨水,2000.0,その他,,131.26316360792714
19939,雨水,2000.0,,,47.27687596051745
19938,雨水,2000.0,,,35.70595897273359
19937,雨水,2000.0,,,17.457822315512402
19920,雨水,2000.0,その他,,299.7709087689035
19918,雨水,2000.0,その他,,10.131221735712
19917,雨水,2000.0,その他,,61.09219544791449
19910,雨水,2000.0,ヒューム管,,114.60064311359838
19909,雨水,2000.0,ヒューム管,,6.18907981851548
19908,雨水,2000.0,ヒューム管,,37.34078736449043
19907,雨水,2000.0,ヒューム管,1997.0,12.07860353180417
12241,雨水,2000.0,,1995.0,71.93442563249138
11902,雨水,2000.0,ヒューム管･推進管,1989.0,114.99622937800997
11901,雨水,2000.0,ヒューム管･推進管,1989.0,138.84988425402537
20078,雨水,2000.0,ヒューム管･推進管,1998.0,53.05394844885106
20059,雨水,2000.0,ヒューム管,1999.0,58.18885985043267
22730,雨水,2000.0,ヒューム管,2009.0,59.89237484855426
11925,雨水,2000.0,,,11.574159707051157
11926,雨水,2000.0,,,35.64975159680069
20060,雨水,2000.0,ヒューム管･推進管,1998.0,312.0847973275148
20109,雨水,2000.0,陶管,2004.0,56.08447100570935
11886,雨水,2000.0,その他,2004.0,51.301587070965745
20111,雨水,2000.0,陶管,2004.0,63.45589990666358
20110,雨水,2000.0,陶管,2004.0,60.17059381334125
20530,雨水,2000.0,ヒューム管,1994.0,94.69986660118536
20527,雨水,2000.0,塩ビ管,1994.0,259.49055636555016
20526,雨水,2000.0,塩ビ管,1994.0,129.48874718902158
20151,雨水,2000.0,陶管,2004.0,135.83229976240375
22452,雨水,2000.0,その他,,12.176667852907311
11474,雨水,2000.0,塩ビ管,1989.0,7.007412737228714
11475,雨水,2000.0,強化プラスチック管,1998.0,5.632704386654852
11732,雨水,2000.0,その他,,86.0611496772792
