sink_x,sink_y,sink_indegree,run_pipes,run_length_m,stopped_at_indegree
-22194.07,-120767.49,3,0,0.0,3
-21317.56,-121166.55,3,0,0.0,3
-18492.25,-120134.28,2,0,0.0,2
-21471.32,-123435.75,3,0,0.0,3
-19178.93,-118176.59,3,0,0.0,3
-23458.29,-124681.3,2,0,0.0,2
-21731.9,-122673.07,3,0,0.0,3
-18445.54,-120443.79000000001,2,0,0.0,2
-22419.600000000002,-120918.71,2,0,0.0,2
-18556.58,-120381.84,2,0,0.0,2
-22955.38,-124313.62,2,0,0.0,2
-22549.54,-120746.25,2,0,0.0,2
-18421.24,-120336.05,3,0,0.0,3
-18623.920000000002,-120831.81,2,0,0.0,2
-23294.600000000002,-125132.3,4,0,0.0,4
-18858.69,-118815.34,2,0,0.0,2
-22522.420000000002,-124934.89,4,0,0.0,4
-21616.71,-122892.36,3,0,0.0,3
-22357.9,-124907.07,2,0,0.0,2
-18839.95,-119317.31,3,0,0.0,3
-21767.72,-121268.07,2,0,0.0,2
-22396.05,-124961.45,4,0,0.0,4
-21804.86,-124058.2,2,0,0.0,2
-23393.72,-122073.3,2,0,0.0,2
-20908.14,-122497.41,3,0,0.0,3
-21865.58,-122552.40000000001,5,0,0.0,5
-21493.98,-122755.33,2,0,0.0,2
-22034.63,-123988.28,2,0,0.0,2
-19192.49,-118351.94,2,0,0.0,2
-21998.64,-122822.87,2,0,0.0,2
-24927.58,-123371.97,2,0,0.0,2
-21098.350000000002,-123542.28,2,0,0.0,2
-20919.84,-122446.29000000001,2,0,0.0,2
-21761.350000000002,-122593.2,2,0,0.0,2
-23801.98,-123529.36,2,0,0.0,2
-21563.66,-122991.38,2,0,0.0,2
-23650.97,-123646.28,3,0,0.0,3
-19866.96,-121017.08,2,0,0.0,2
-21882.07,-122789.22,3,0,0.0,3
-22636.5,-122207.65000000001,2,0,0.0,2
-18572.850000000002,-120555.85,3,0,0.0,3
-19300.66,-117951.07,2,0,0.0,2
-22782.5,-124088.09,2,0,0.0,2
-25507.98,-123144.14,2,0,0.0,2
-21794.06,-122556.43000000001,2,0,0.0,2
-24789.18,-123382.87,2,0,0.0,2
-24911.12,-123172.05,2,0,0.0,2
-19151.73,-118824.54000000001,2,0,0.0,2
-22982.4,-124454.49,3,0,0.0,3
-18690.31,-119801.7,2,0,0.0,2
-23266.03,-122467.76000000001,2,0,0.0,2
-19140.63,-121110.1,3,0,0.0,3
-25491.95,-123420.08,2,0,0.0,2
-25514.12,-123425.94,3,0,0.0,3
-22601.420000000002,-124107.66,2,0,0.0,2
-19146.510000000002,-118160.39,2,0,0.0,2
-22187.81,-122321.16,2,0,0.0,2
-20702.56,-120569.0,2,0,0.0,2
-20037.38,-121365.37,2,0,0.0,2
-22806.23,-122309.28,2,0,0.0,2
-19441.08,-121162.67,2,0,0.0,2
-21685.02,-123267.49,3,0,0.0,3
-19213.3,-119997.8,2,0,0.0,2
-19617.64,-120352.15000000001,3,0,0.0,3
-21970.8,-124187.77,2,0,0.0,2
-19126.52,-119382.76000000001,2,0,0.0,2
-23582.61,-124021.19,3,0,0.0,3
-18127.36,-120264.66,3,0,0.0,3
-20270.600000000002,-120115.67,2,0,0.0,2
-22517.7,-124202.72,2,0,0.0,2
-19141.29,-118031.83,2,0,0.0,2
-25507.850000000002,-123325.61,2,0,0.0,2
-18983.170000000002,-119619.74,2,0,0.0,2
-21792.3,-122999.81,3,0,0.0,3
-22203.82,-120904.90000000001,2,0,0.0,2
-25535.0,-123403.87,2,0,0.0,2
-19638.79,-121300.40000000001,3,0,0.0,3
-19884.41,-120592.53,2,0,0.0,2
-21577.28,-122939.58,2,0,0.0,2
-20519.81,-119921.79000000001,3,0,0.0,3
-21390.45,-123403.62,4,0,0.0,4
-20423.06,-120583.78,3,0,0.0,3
-22176.54,-120936.71,3,0,0.0,3
-22656.850000000002,-123845.36,3,0,0.0,3
-23343.55,-121779.95,3,0,0.0,3
-22633.44,-124952.12,3,0,0.0,3
-21186.45,-121863.02,2,0,0.0,2
-19119.66,-118056.31,2,0,0.0,2
-21849.32,-120755.09,2,0,0.0,2
-22814.36,-121877.56,4,0,0.0,4
-18698.98,-119839.79000000001,3,0,0.0,3
-23011.12,-123843.36,2,0,0.0,2
-19134.09,-118132.94,2,0,0.0,2
-21545.09,-123459.25,2,0,0.0,2
-19476.45,-119725.63,2,0,0.0,2
-19969.48,-121389.61,2,0,0.0,2
