span_id,pipe_no,distance_m,item,rank,note
20243,33.0,66.2,継手ズレ,a,脱却(合成)
20243,13.0,26.8,クラック,c,
20243,17.0,34.6,浸入水,c,
20243,3.0,6.5,モルタル付着,c,
20248,4.0,8.6,クラック,a,
20248,10.0,20.4,クラック,a,
20248,17.0,34.2,クラック,a,
20248,22.0,44.6,クラック,a,
20248,14.0,29.4,クラック,a,
20248,11.0,23.0,クラック,a,
20248,,,たるみ,B,
6173,29.0,58.8,浸入水,a,
6173,6.0,12.0,浸入水,a,
6173,20.0,40.4,浸入水,a,
6173,19.0,38.6,浸入水,a,
6173,10.0,20.9,浸入水,a,
6173,13.0,27.0,浸入水,a,
11893,15.0,30.0,クラック,a,同一箇所テスト(合成)
11893,15.0,30.0,浸入水,b,同一箇所テスト(合成)
11893,,,腐食,B,
11896,15.0,30.4,クラック,b,
11896,30.0,61.2,クラック,b,
11896,22.0,44.3,モルタル付着,b,
11896,7.0,14.0,浸入水,b,
11896,17.0,34.9,樹木根侵入,b,
11896,16.0,32.6,樹木根侵入,b,
11896,,,腐食,B,
11895,13.0,26.7,モルタル付着,c,
11895,25.0,50.8,モルタル付着,c,
11895,32.0,64.8,モルタル付着,c,
11895,34.0,68.5,モルタル付着,c,
11895,8.0,17.1,モルタル付着,c,
11895,5.0,10.7,モルタル付着,c,
11895,21.0,43.2,モルタル付着,c,
11895,23.0,47.3,モルタル付着,c,
11895,1.0,2.6,モルタル付着,c,
11895,33.0,67.4,モルタル付着,c,
11895,4.0,8.7,モルタル付着,c,
11895,14.0,28.2,モルタル付着,c,
11895,30.0,61.3,モルタル付着,c,
11895,6.0,12.7,モルタル付着,c,
11895,17.0,35.1,モルタル付着,c,
11895,15.0,31.3,モルタル付着,c,
11895,2.0,4.4,モルタル付着,c,
11895,22.0,45.2,モルタル付着,c,
11895,24.0,48.7,モルタル付着,c,
11895,20.0,40.4,モルタル付着,c,
11895,3.0,6.7,モルタル付着,c,
11895,31.0,63.1,モルタル付着,c,
20388,4.0,8.5,浸入水,c,
20342,,,たるみ,C,
20086,18.0,36.1,破損,a,軸方向クラック幅5mm超(合成)
20086,,,腐食,A,
5718,5.0,10.3,継手ズレ,a,脱却(合成)
5718,5.0,10.6,クラック,c,
5719,2.0,4.8,クラック,a,
5719,,,たるみ,B,
12964,7.0,14.3,浸入水,a,
12964,1.0,2.6,浸入水,a,
10379,1.0,2.0,クラック,a,同一箇所テスト(合成)
10379,1.0,2.0,浸入水,b,同一箇所テスト(合成)
10379,,,腐食,B,
19514,10.0,21.4,クラック,b,
19514,7.0,15.3,樹木根侵入,b,
19514,,,腐食,B,
8773,107.0,214.8,モルタル付着,c,
8773,54.0,108.3,モルタル付着,c,
8773,69.0,139.0,モルタル付着,c,
8773,96.0,193.2,モルタル付着,c,
8773,95.0,190.3,モルタル付着,c,
8773,70.0,140.9,モルタル付着,c,
8773,78.0,157.1,モルタル付着,c,
8773,29.0,58.2,モルタル付着,c,
8773,63.0,127.2,モルタル付着,c,
8773,101.0,203.4,モルタル付着,c,
8773,35.0,70.2,モルタル付着,c,
8773,56.0,112.0,モルタル付着,c,
8773,100.0,200.5,モルタル付着,c,
8773,4.0,9.0,モルタル付着,c,
8773,50.0,101.4,モルタル付着,c,
8773,44.0,88.6,モルタル付着,c,
8773,86.0,173.1,モルタル付着,c,
8773,87.0,174.1,モルタル付着,c,
8773,52.0,105.0,モルタル付着,c,
8773,22.0,44.9,モルタル付着,c,
8773,60.0,120.2,モルタル付着,c,
8773,17.0,35.2,モルタル付着,c,
8773,80.0,161.3,モルタル付着,c,
8773,106.0,212.9,モルタル付着,c,
8773,104.0,208.2,モルタル付着,c,
8773,51.0,103.5,モルタル付着,c,
8773,76.0,153.2,モルタル付着,c,
8773,73.0,146.5,モルタル付着,c,
8773,84.0,168.6,モルタル付着,c,
8773,11.0,22.6,モルタル付着,c,
8773,55.0,110.8,モルタル付着,c,
8773,18.0,36.5,モルタル付着,c,
8773,88.0,177.3,モルタル付着,c,
8773,24.0,49.2,モルタル付着,c,
8773,7.0,14.2,モルタル付着,c,
8773,34.0,69.4,モルタル付着,c,
8773,49.0,99.0,モルタル付着,c,
8773,42.0,85.2,モルタル付着,c,
8773,28.0,57.1,モルタル付着,c,
8773,59.0,118.7,モルタル付着,c,
8773,71.0,143.1,モルタル付着,c,
8773,93.0,187.4,モルタル付着,c,
8773,72.0,144.4,モルタル付着,c,
8773,36.0,73.2,モルタル付着,c,
8773,108.0,216.8,モルタル付着,c,
8773,91.0,182.7,モルタル付着,c,
8773,64.0,128.7,モルタル付着,c,
8773,6.0,13.1,モルタル付着,c,
8773,31.0,62.4,モルタル付着,c,
8773,2.0,5.3,モルタル付着,c,
8773,48.0,97.2,モルタル付着,c,
8773,98.0,196.1,モルタル付着,c,
8773,92.0,185.3,モルタル付着,c,
8773,23.0,46.4,モルタル付着,c,
8773,15.0,30.7,モルタル付着,c,
8773,68.0,136.9,モルタル付着,c,
8773,5.0,10.6,モルタル付着,c,
8773,94.0,188.0,モルタル付着,c,
8773,53.0,107.3,モルタル付着,c,
8773,3.0,6.3,モルタル付着,c,
8773,85.0,170.3,モルタル付着,c,
8773,16.0,33.2,モルタル付着,c,
8773,13.0,26.5,モルタル付着,c,
8773,58.0,117.3,モルタル付着,c,
8773,40.0,81.1,モルタル付着,c,
8773,10.0,20.4,モルタル付着,c,
8773,47.0,94.0,モルタル付着,c,
8773,9.0,19.4,モルタル付着,c,
8773,82.0,164.1,モルタル付着,c,
8773,8.0,17.1,モルタル付着,c,
8772,16.0,33.0,モルタル付着,c,
8772,18.0,37.2,モルタル付着,c,
15102,,,たるみ,C,
